date,hour_ending,charge_type,market_type,expected_value_usd,actual_value_usd,variance_pct,baseline_30day_avg,unit,notes
2024-02-10,01:00,Energy Charge,DAM,12500.00,12800.00,2.4,12400.00,USD,Normal
2024-02-10,02:00,Energy Charge,DAM,11800.00,12100.00,2.5,11900.00,USD,Normal
2024-02-10,03:00,Energy Charge,DAM,11200.00,11400.00,1.8,11300.00,USD,Normal
2024-02-10,04:00,Energy Charge,DAM,10900.00,11100.00,1.8,11000.00,USD,Normal
2024-02-10,05:00,Energy Charge,DAM,11500.00,11700.00,1.7,11600.00,USD,Normal
2024-02-10,06:00,Energy Charge,DAM,13200.00,13500.00,2.3,13100.00,USD,Normal
2024-02-10,07:00,Energy Charge,DAM,15000.00,14800.00,-1.3,14900.00,USD,Normal
2024-02-10,08:00,Energy Charge,DAM,16500.00,16200.00,-1.8,16400.00,USD,Normal
2024-02-11,01:00,Energy Charge,DAM,12000.00,12300.00,2.5,12100.00,USD,Normal
2024-02-11,06:00,Energy Charge,DAM,13000.00,450000.00,3361.5,13000.00,USD,ANOMALY
2024-02-11,07:00,Energy Charge,RTM,14000.00,495000.00,3435.7,14000.00,USD,ANOMALY
2024-02-11,08:00,Energy Charge,RTM,15000.00,540000.00,3500.0,15000.00,USD,ANOMALY
2024-02-11,09:00,Uplift Charge,DAM,8000.00,42000.00,425.0,8200.00,USD,ANOMALY
2024-02-11,10:00,Uplift Charge,RTM,7500.00,38500.00,413.3,7600.00,USD,ANOMALY
2024-02-11,11:00,Congestion Charge,DAM,5000.00,5200.00,4.0,5100.00,USD,Normal
2024-02-11,12:00,Ancillary Services,DAM,3200.00,3300.00,3.1,3250.00,USD,Normal
2024-02-11,13:00,Ancillary Services,DAM,3100.00,0.00,-100.0,3150.00,USD,ANOMALY
2024-02-11,14:00,REC Credit,DAM,-4500.00,0.00,100.0,4500.00,USD,ANOMALY
2024-02-11,15:00,Congestion Charge,DAM,5100.00,5050.00,-1.0,5080.00,USD,Normal
2024-02-11,16:00,Energy Charge,DAM,17000.00,16800.00,-1.2,16900.00,USD,Normal
2024-02-11,17:00,Energy Charge,DAM,18500.00,18200.00,-1.6,18400.00,USD,Normal
2024-02-11,18:00,Transmission Charge,DAM,2800.00,2750.00,-1.8,2780.00,USD,Normal
2024-02-11,19:00,Energy Charge,RTM,16000.00,15800.00,-1.3,15900.00,USD,Normal
2024-02-11,20:00,Uplift Charge,DAM,7800.00,7900.00,1.3,7850.00,USD,Normal
2024-02-11,21:00,Energy Charge,DAM,14500.00,14300.00,-1.4,14400.00,USD,Normal
2024-02-11,22:00,Ancillary Services,RTM,3000.00,3100.00,3.3,3050.00,USD,Normal
2024-02-11,23:00,Energy Charge,DAM,13000.00,12800.00,-1.5,12900.00,USD,Normal
2024-02-12,01:00,Energy Charge,DAM,12200.00,12000.00,-1.6,12100.00,USD,Normal
2024-02-12,06:00,Congestion Charge,RTM,5200.00,5180.00,-0.4,5190.00,USD,Normal
2024-02-12,12:00,REC Credit,DAM,-4600.00,-4580.00,0.4,4590.00,USD,Normal
